id,chinese_name,name,codename,is_pal,tribe,bp_class,nonbonus_attack_range,price,must_bring_1,must_bring_2,partner_skills,lv1,lv2,lv3,lv4,lv5,skill_description,lv_diff,must_bring,partner_skill_type,tribe_clean,bp_class_clean,attack_range_type,rarity,rarity_label,element_1_clean,element_2_clean,element_combo,has_dual_element,codename_base,skill_description_length,skill_function_category,lv_diff_category,price_category,pal_id
61,Blue Flame Wolf,Kitsun,AmaterasuWolf,True,EPalTribeID::AmaterasuWolf,AmaterasuWolf,100,3170,none,none,Moving speed%,0,10,12,15,20,Can be moved around on its back. You won't be affected by cold or heat while riding.,20,none,Mobilité,AmaterasuWolf,AmaterasuWolf,close,6,🟣 Rare,fire,,fire,False,AmaterasuWolf,84,Monture,Gain faible,💸 Moyen,61_Kitsun
62,Thunder Boy,Dazzi,RaijinDaughter,True,EPalTribeID::RaijinDaughter,RaijinDaughter,100,1390,none,none,Skill power multiplier,1,1,1,1,2,"If it is in the party, it will appear next to the player. It will cooperate with the player's offensive to pursue with thunder.",1,none,Offensif,RaijinDaughter,RaijinDaughter,close,2,🟢 Commun,electricity,,electricity,False,RaijinDaughter,127,Autre,Gain faible,💰 Faible,62_Dazzi
63,Mystia,Lunaris,Mutant,True,EPalTribeID::Mutant,Mutant,100,1760,none,none,Increased weight bearing,80,90,100,110,120,"If Mutant is in the team, it can increase the player's upper limit of weight through its anti-gravity.",40,none,Support logistique,Mutant,Mutant,close,6,🟣 Rare,generally,,generally,False,Mutant,102,Logistique,Gain faible,💰 Faible,63_Lunaris
64,Corolla dragon,Dinossom,FlowerDinosaur,True,EPalTribeID::FlowerDinosaur,FlowerDinosaur,100,3240,none,none,Elemental power bonus%_Leaf,50,55,65,80,100,Can be moved around on its back. Elemental Leaf attacks during riding will be strengthened.,50,none,Bonus,FlowerDinosaur,FlowerDinosaur,close,6,🟣 Rare,Wood,dragon,Wood_dragon,True,FlowerDinosaur,91,Offensif,Gain faible,💸 Moyen,64_Dinossom
64,Thunder Guanlong,Dinossom Lux,FlowerDinosaur_Electric,True,EPalTribeID::FlowerDinosaur_Electric,FlowerDinosaur_Electric,100,3380,none,none,Elemental power bonus%_Electricity,50,55,65,80,100,Can be moved around on its back. Elemental Electricity attacks during riding will be strengthened.,50,none,Bonus,FlowerDinosaur_Electric,FlowerDinosaur_Electric,close,7,🟣 Rare,electricity,dragon,electricity_dragon,True,FlowerDinosaur,98,Offensif,Gain faible,💸 Moyen,64_Dinossom Lux
65,water-sliding snake,Surfent,Serpent,True,EPalTribeID::Serpent,Serpent,100,5050,none,none,Moving speed%,0,10,12,15,20,Can ride on its back and move through the water. Moving on water while riding does not consume stamina.,20,none,Mobilité,Serpent,Serpent,close,4,🔵 Peu commun,water,,water,False,Serpent,103,Monture,Gain faible,💎 Élevé,65_Surfent
65,quicksand snake,Surfent Terra,Serpent_Ground,True,EPalTribeID::Serpent_Ground,Serpent_Ground,100,5140,none,none,Moving speed%,0,10,12,15,20,Can be moved around on its back.,20,none,Mobilité,Serpent_Ground,Serpent_Ground,close,5,🔵 Peu commun,land,,land,False,Serpent,32,Monture,Gain faible,💎 Élevé,65_Surfent Terra
66,Soul Eater,Maraith,GhostBeast,True,EPalTribeID::GhostBeast,GhostBeast,100,1570,none,none,Attack power bonus%,50,55,65,80,100,"Can be moved around on its back. While mounted, it will grant elemental Dark to the player's attacks.",50,none,Offensif,GhostBeast,GhostBeast,close,6,🟣 Rare,dark,,dark,False,GhostBeast,101,Offensif,Gain faible,💰 Faible,66_Maraith
67,Rock Crusher Turtle,Digtoise,DrillGame,True,EPalTribeID::DrillGame,DrillGame,100,2980,hard skin,none,Skill power multiplier,1,1,1,2,2,"After launching, it will enter the Unique_DrillGame_ShellAttack state. It will follow the player as it spins, destroying ores efficiently.",1,hard skin,Offensif,DrillGame,DrillGame,close,5,🔵 Peu commun,land,,land,False,DrillGame,138,Offensif,Gain faible,💸 Moyen,67_Digtoise
68,cat bat monster,Tombat,CatBat,True,EPalTribeID::CatBat,CatBat,100,3810,none,none,distance,10000,11000,13000,16000,20000,"Once activated, it can detect the location of nearby pallu using ultrasonic waves.",10000,none,Autre,CatBat,CatBat,close,5,🔵 Peu commun,dark,,dark,False,CatBat,82,Détection,Gain exceptionnel,💸 Moyen,68_Tombat
69,fraternity lizard,Lovander,PinkLizard,True,EPalTribeID::PinkLizard,PinkLizard,100,2450,uncharacteristically,none,life drain %,2,3,4,5,6,"When fighting alongside it, it can give the player and PinkLizard a life-stealing effect. This effect can absorb part of the damage when it is applied, and restore COMMON_STATUS_HP.",4,uncharacteristically,Autre,PinkLizard,PinkLizard,close,5,🔵 Peu commun,generally,,generally,False,PinkLizard,181,Offensif,Gain faible,💸 Moyen,69_Lovander
70,Rong Yan Niang,Flambelle,LavaGirl,True,EPalTribeID::LavaGirl,LavaGirl,100,2500,none,none,Ranch skills,0,0,0,0,0,Assign it to Palu Ranch and it will have a chance to create FireOrgan.,0,none,Production,LavaGirl,LavaGirl,close,1,🟢 Commun,fire,,fire,False,LavaGirl,70,Ranch,Aucun gain,💸 Moyen,70_Flambelle
71,Fenggelong,Vanwyrm,BirdDragon,True,EPalTribeID::BirdDragon,BirdDragon,100,4360,none,none,Weakness bonus %,20,22,26,32,40,You can ride on its back and fly in the air. Attacking the enemy's weak points while riding can cause more damage.,20,none,Stratégique,BirdDragon,BirdDragon,close,4,🔵 Peu commun,fire,dark,fire_dark,True,BirdDragon,114,Offensif,Gain faible,💸 Moyen,71_Vanwyrm
71,Frost Song Dragon,Vanwyrm Cryst,BirdDragon_Ice,True,EPalTribeID::BirdDragon_Ice,BirdDragon_Ice,100,4610,none,none,Weakness bonus %,20,22,26,32,40,You can ride on its back and fly in the air. Attacking the enemy's weak points while riding can cause more damage.,20,none,Stratégique,BirdDragon_Ice,BirdDragon_Ice,close,5,🔵 Peu commun,ice,dark,ice_dark,True,BirdDragon,114,Offensif,Gain faible,💸 Moyen,71_Vanwyrm Cryst
72,Wave Blade Samurai,Bushi,Ronin,True,EPalTribeID::Ronin,Ronin,100,4520,none,none,Skill power multiplier,1,1,1,2,2,"After activation, it will attack the targeted enemy with extremely powerful Unique_Ronin_Iai.",1,none,Offensif,Ronin,Ronin,close,7,🟣 Rare,fire,,fire,False,Ronin,93,Offensif,Gain faible,💸 Moyen,72_Bushi
73,Thunderbird,Beakon,ThunderBird,True,EPalTribeID::ThunderBird,ThunderBird,100,7490,none,none,Attack power bonus%,50,55,65,80,100,You can ride on its back and fly in the air. While mounted it will grant elemental Electricity to the player's attacks.,50,none,Offensif,ThunderBird,ThunderBird,close,6,🟣 Rare,electricity,,electricity,False,ThunderBird,119,Offensif,Gain faible,💎 Élevé,73_Beakon
74,Flamingo,Ragnahawk,RedArmorBird,True,EPalTribeID::RedArmorBird,RedArmorBird,100,6720,none,none,Attack power bonus%,50,55,65,80,100,You can ride on its back and fly in the air. While mounted it will grant elemental Fire to the player's attacks.,50,none,Offensif,RedArmorBird,RedArmorBird,close,7,🟣 Rare,fire,,fire,False,RedArmorBird,112,Offensif,Gain faible,💎 Élevé,74_Ragnahawk
75,dark witch cat,Katress,CatMage,True,EPalTribeID::CatMage,CatMage,100,4120,none,none,Drop increase%_Normal,40,50,60,70,80,"When fighting side by side with it, if you knock down the elemental Normal's Palu, you can get more dropped items from that Pallu.",40,none,Autre,CatMage,CatMage,close,6,🟣 Rare,dark,,dark,False,CatMage,130,Autre,Gain faible,💸 Moyen,75_Katress
76,Flame Witch Fox,Wixen,FoxMage,True,EPalTribeID::FoxMage,FoxMage,100,1540,none,none,Attack power bonus%,5,6,7,8,10,"When fighting alongside it, it will grant elemental Fire to the player's attacks.",5,none,Offensif,FoxMage,FoxMage,close,6,🟣 Rare,fire,,fire,False,FoxMage,81,Offensif,Gain faible,💰 Faible,76_Wixen
77,spring rabbit,Verdash,GrassRabbitMan,True,EPalTribeID::GrassRabbitMan,GrassRabbitMan,100,2200,none,none,Moving speed%,20,22,26,32,40,"When fighting alongside it, the player's movement speed will be increased, and it will also grant elemental Leaf to the player's attacks.",20,none,Mobilité,GrassRabbitMan,GrassRabbitMan,close,8,🟠 Épique,Wood,,Wood,False,GrassRabbitMan,137,Offensif,Gain faible,💸 Moyen,77_Verdash
78,Verita,Vaelet,VioletFairy,True,EPalTribeID::VioletFairy,VioletFairy,100,1960,none,none,Drop increased by %_Earth,40,50,60,70,80,"When fighting alongside it, if you knock down the Pallu of Elemental Earth, you can get more dropped items from that Pallu.",40,none,Autre,VioletFairy,VioletFairy,close,8,🟠 Épique,Wood,,Wood,False,VioletFairy,123,Autre,Gain faible,💰 Faible,78_Vaelet
79,silk moth,Sibelyx,WhiteMoth,True,EPalTribeID::WhiteMoth,WhiteMoth,100,5900,none,none,Skill power multiplier,1,1,1,2,2,"After being activated, it will attack the targeted enemy with extremely powerful IcicleThrow. Assign it to Palu Ranch and it will have a chance to create Cloth2.",1,none,Offensif,WhiteMoth,WhiteMoth,close,7,🟣 Rare,ice,,ice,False,WhiteMoth,161,Offensif,Gain faible,💎 Élevé,79_Sibelyx
80,Faerie Dragon,Elphidran,FairyDragon,True,EPalTribeID::FairyDragon,FairyDragon,100,5230,none,none,Drop increased by %_Dark,40,50,60,70,80,"You can ride on its back and fly in the air. When fighting alongside it, if you knock down the elemental Dark's pallu, you can get more dropped items from that pallu.",40,none,Autre,FairyDragon,FairyDragon,close,7,🟣 Rare,dragon,,dragon,False,FairyDragon,166,Monture,Gain faible,💎 Élevé,80_Elphidran
80,Water Spirit Dragon,Elphidran Aqua,FairyDragon_Water,True,EPalTribeID::FairyDragon_Water,FairyDragon_Water,100,5320,none,none,Drop increased by %_Fire,40,50,60,70,80,"You can ride on its back and fly in the air. When fighting alongside it, if you knock down the elemental Fire's pallu, you can get more dropped items from that pallu.",40,none,Autre,FairyDragon_Water,FairyDragon_Water,close,8,🟠 Épique,dragon,water,dragon_water,True,FairyDragon,166,Monture,Gain faible,💎 Élevé,80_Elphidran Aqua
81,Shui Linger,Kelpsea,Kelpie,True,EPalTribeID::Kelpie,Kelpie,100,1260,none,none,Attack power bonus%,10,11,13,16,20,"If it is in the team, the elemental Water Palu's attack power will be increased.",10,none,Offensif,Kelpie,Kelpie,close,1,🟢 Commun,water,,water,False,Kelpie,80,Offensif,Gain faible,💰 Faible,81_Kelpsea
81,Huo Linger,Kelpsea Ignis,Kelpie_Fire,True,EPalTribeID::Kelpie_Fire,Kelpie_Fire,100,1240,none,none,Attack power bonus%,10,11,13,16,20,"If it is in the team, the elemental Fire Palu's attack power will be increased.",10,none,Offensif,Kelpie_Fire,Kelpie_Fire,close,2,🟢 Commun,fire,,fire,False,Kelpie,79,Offensif,Gain faible,💰 Faible,81_Kelpsea Ignis
82,Bihailong,Azurobe,BlueDragon,True,EPalTribeID::BlueDragon,BlueDragon,100,5600,none,none,Attack power bonus%,50,55,65,80,100,"Can ride on its back and move around on water. While mounted, it will grant elemental Water to the player's attacks.",50,none,Offensif,BlueDragon,BlueDragon,close,7,🟣 Rare,water,dragon,water_dragon,True,BlueDragon,116,Offensif,Gain faible,💎 Élevé,82_Azurobe
83,Ice Thorn Beast,Cryolinx,WhiteTiger,True,EPalTribeID::WhiteTiger,WhiteTiger,100,8440,none,none,Drop increased by %_Dragon,40,50,60,70,80,"When fighting alongside it, if you knock down the elemental Dragon's pallu, you can get more dropped items from that pallu.",40,none,Autre,WhiteTiger,WhiteTiger,close,7,🟣 Rare,ice,,ice,False,WhiteTiger,123,Autre,Gain faible,👑 Très élevé,83_Cryolinx
84,Hellfire King,Blazehowl,Manticore,True,EPalTribeID::Manticore,Manticore,100,4040,none,none,Drop increased by %_Leaf,40,50,60,70,80,"Can be moved around on its back. When fighting side by side with it, if you knock down the elemental Leaf's pallu, you can get more dropped items from that pallu.",40,none,Autre,Manticore,Manticore,close,7,🟣 Rare,fire,,fire,False,Manticore,162,Monture,Gain faible,💸 Moyen,84_Blazehowl
84,Hell King,Blazehowl Noct,Manticore_Dark,True,EPalTribeID::Manticore_Dark,Manticore_Dark,100,4360,none,none,Drop increase%_Normal,40,50,60,70,80,"Can be moved around on its back. When fighting side by side with it, if you knock down the elemental Normal's Palu, you can get more dropped items from that Pallu.",40,none,Autre,Manticore_Dark,Manticore_Dark,close,8,🟠 Épique,fire,dark,fire_dark,True,Manticore,163,Monture,Gain faible,💸 Moyen,84_Blazehowl Noct
85,Pecorone,Relaxaurus,LazyDragon,True,EPalTribeID::LazyDragon,LazyDragon,100,10240,greedy,none,Skill power,10,11,13,16,20,Can be moved around on its back. It can also continuously attack with its missile launcher while riding.,10,greedy,Offensif,LazyDragon,LazyDragon,close,8,🟠 Épique,dragon,water,dragon_water,True,LazyDragon,104,Offensif,Gain faible,👑 Très élevé,85_Relaxaurus
85,Parker,Relaxaurus Lux,LazyDragon_Electric,True,EPalTribeID::LazyDragon_Electric,LazyDragon_Electric,100,10380,none,none,Skill power,10,11,13,16,20,Can be moved around on its back. It can also continuously attack with its missile launcher while riding.,10,none,Offensif,LazyDragon_Electric,LazyDragon_Electric,close,9,🟠 Épique,dragon,electricity,dragon_electricity,True,LazyDragon,104,Offensif,Gain faible,👑 Très élevé,85_Relaxaurus Lux
86,Lian Lilong,Broncherry,SakuraSaurus,True,EPalTribeID::SakuraSaurus,SakuraSaurus,100,2920,none,none,Increased weight bearing,100,110,120,130,140,"Can be moved around on its back. If SakuraSaurus is in the team, it will help carry luggage and increase the player's maximum weight limit.",40,none,Support logistique,SakuraSaurus,SakuraSaurus,close,7,🟣 Rare,Wood,,Wood,False,SakuraSaurus,139,Monture,Gain faible,💸 Moyen,86_Broncherry
86,Allother,Broncherry Aqua,SakuraSaurus_Water,True,EPalTribeID::SakuraSaurus_Water,SakuraSaurus_Water,100,3110,none,none,Increased weight bearing,100,110,120,130,140,"Can be moved around on its back. If SakuraSaurus_Water is in the team, it will help carry luggage and increase the player's upper limit of weight.",40,none,Support logistique,SakuraSaurus_Water,SakuraSaurus_Water,close,8,🟠 Épique,Wood,water,Wood_water,True,SakuraSaurus,146,Monture,Gain faible,💸 Moyen,86_Broncherry Aqua
87,Hualina,Petallia,FlowerDoll,True,EPalTribeID::FlowerDoll,FlowerDoll,100,3590,none,none,treatment value,400,440,520,640,800,"When activated, the player's health can be restored through the healing power of the flowers.",400,none,Soutien,FlowerDoll,FlowerDoll,close,8,🟠 Épique,Wood,,Wood,False,FlowerDoll,93,Soutien,Gain moyen,💸 Moyen,87_Petallia
88,Lava Beast,Reptyro,VolcanicMonster,True,EPalTribeID::VolcanicMonster,VolcanicMonster,100,6940,none,none,Mining bonus+,500,750,1100,1500,2000,Can be moved around on its back. Destroying ore will be more efficient while riding.,1500,none,Ressources,VolcanicMonster,VolcanicMonster,close,6,🟣 Rare,fire,land,fire_land,True,VolcanicMonster,84,Monture,Gain élevé,💎 Élevé,88_Reptyro
88,Frost Beast,Ice Reptyro,VolcanicMonster_Ice,True,EPalTribeID::VolcanicMonster_Ice,VolcanicMonster_Ice,100,7380,none,none,Mining bonus+,500,750,1100,1500,2000,Can be moved around on its back. Destroying ore will be more efficient while riding.,1500,none,Ressources,VolcanicMonster_Ice,VolcanicMonster_Ice,close,7,🟣 Rare,ice,land,ice_land,True,VolcanicMonster,84,Monture,Gain élevé,💎 Élevé,88_Ice Reptyro
89,King Melupa,Kingpaca,KingAlpaca,True,EPalTribeID::KingAlpaca,KingAlpaca,100,5800,none,none,Increased weight bearing,100,110,120,130,140,"Can be moved around on its back. If KingAlpaca is in the team, it will help carry luggage and increase the player's maximum weight limit.",40,none,Support logistique,KingAlpaca,KingAlpaca,close,8,🟠 Épique,generally,,generally,False,KingAlpaca,137,Monture,Gain faible,💎 Élevé,89_Kingpaca
89,Ice Emperor Melpa,Ice Kingpaca,KingAlpaca_Ice,True,EPalTribeID::KingAlpaca_Ice,KingAlpaca_Ice,100,6100,none,none,Increased weight bearing,100,110,120,130,140,"Can be moved around on its back. If KingAlpaca_Ice is in the team, it will help carry luggage and increase the player's maximum weight limit.",40,none,Support logistique,KingAlpaca_Ice,KingAlpaca_Ice,close,9,🟠 Épique,ice,,ice,False,KingAlpaca,141,Monture,Gain faible,💎 Élevé,89_Ice Kingpaca
90,Mammoth,Mammorest,GrassMammoth,True,EPalTribeID::GrassMammoth,GrassMammoth,100,9450,none,none,Mining bonus+,500,750,1100,1500,2000,Can be moved around on its back. Destroying trees and ores while riding will be more efficient.,1500,none,Ressources,GrassMammoth,GrassMammoth,close,8,🟠 Épique,Wood,,Wood,False,GrassMammoth,95,Monture,Gain élevé,👑 Très élevé,90_Mammorest
90,snow mammoth,Mammorest Cryst,GrassMammoth_Ice,True,EPalTribeID::GrassMammoth_Ice,GrassMammoth_Ice,100,9580,none,none,Mining bonus+,500,750,1100,1500,2000,Can be moved around on its back. Destroying trees and ores while riding will be more efficient.,1500,none,Ressources,GrassMammoth_Ice,GrassMammoth_Ice,close,9,🟠 Épique,ice,,ice,False,GrassMammoth,95,Monture,Gain élevé,👑 Très élevé,90_Mammorest Cryst
91,White Velvet Snow Monster,Wumpo,Yeti,True,EPalTribeID::Yeti,Yeti,100,5900,none,none,Increased weight bearing,120,130,140,150,160,"Can be moved around on its back. If Yeti is in the team, it will help carry luggage and increase the player's maximum weight limit.",40,none,Support logistique,Yeti,Yeti,close,7,🟣 Rare,ice,,ice,False,Yeti,131,Monture,Gain faible,💎 Élevé,91_Wumpo
91,Green Moss Velvet,Wumpo Botan,Yeti_Grass,True,EPalTribeID::Yeti_Grass,Yeti_Grass,100,5700,none,none,Increased weight bearing,120,130,140,150,160,"Can be moved around on its back. If Yeti_Grass is in the team, it will help carry luggage and increase the player's maximum weight limit.",40,none,Support logistique,Yeti_Grass,Yeti_Grass,close,8,🟠 Épique,Wood,,Wood,False,Yeti_Grass,137,Monture,Gain faible,💎 Élevé,91_Wumpo Botan
92,Kaigres,Warsect,HerculesBeetle,True,EPalTribeID::HerculesBeetle,HerculesBeetle,100,6830,hard skin,none,Defense bonus %,5,6,7,8,10,"When fighting alongside it, the player's defense will be increased and the damage of elemental fire can be mitigated.",5,hard skin,Bonus,HerculesBeetle,HerculesBeetle,close,8,🟠 Épique,land,Wood,land_Wood,True,HerculesBeetle,117,Offensif,Gain faible,💎 Élevé,92_Warsect
93,Cloud sea deer,Fenglope,FengyunDeeper,True,EPalTribeID::FengyunDeeper,FengyunDeeper,100,2250,none,none,Moving speed%,0,10,12,15,20,Can be moved around on its back. Two jumps are possible during the ride.,20,none,Mobilité,FengyunDeeper,FengyunDeeper,close,3,🔵 Peu commun,generally,,generally,False,FengyunDeeper,72,Monture,Gain faible,💸 Moyen,93_Fenglope
94,Night Mephit,Felbat,CatVampire,True,EPalTribeID::CatVampire,CatVampire,100,2100,none,none,life drain %,2,3,4,5,6,"When fighting alongside it, it can give the player and CatVampire a life-stealing effect. This effect can absorb part of the damage when it is applied, and restore COMMON_STATUS_HP.",4,none,Autre,CatVampire,CatVampire,close,6,🟣 Rare,dark,,dark,False,CatVampire,181,Offensif,Gain faible,💸 Moyen,94_Felbat
95,Tianyulong,Quivern,SkyDragon,True,EPalTribeID::SkyDragon,SkyDragon,100,6830,none,none,Elemental power bonus%_Dragon,50,55,65,80,100,"You can ride on its back to fly in the air, and your elemental Dragon attacks will be strengthened while riding.",50,none,Bonus,SkyDragon,SkyDragon,close,7,🟣 Rare,dragon,,dragon,False,SkyDragon,112,Offensif,Gain faible,💎 Élevé,95_Quivern
96,Flame Glory,Blazamut,KingBahamut,True,EPalTribeID::KingBahamut,KingBahamut,100,10520,emperor yan,none,Elemental power bonus%_Fire,50,55,65,80,100,Can be moved around on its back. Elemental Fire attacks during riding will be strengthened.,50,emperor yan,Bonus,KingBahamut,KingBahamut,close,9,🟠 Épique,fire,,fire,False,KingBahamut,91,Offensif,Gain faible,👑 Très élevé,96_Blazamut
97,Thunderbird,Helzephyr,HadesBird,True,EPalTribeID::HadesBird,HadesBird,100,7840,none,none,Attack power bonus%,50,55,65,80,100,"You can ride on its back and fly in the air. While mounted, it will grant elemental Dark to the player's attacks.",50,none,Offensif,HadesBird,HadesBird,close,7,🟣 Rare,dark,,dark,False,HadesBird,113,Offensif,Gain faible,💎 Élevé,97_Helzephyr
98,Demon Dragon,Astegon,BlackMetalDragon,True,EPalTribeID::BlackMetalDragon,BlackMetalDragon,100,8200,hard skin,none,Mining bonus+,1100,1500,2000,2600,3300,You can ride on its back and fly in the air. Can cause greater damage to ores while riding.,2200,hard skin,Ressources,BlackMetalDragon,BlackMetalDragon,close,9,🟠 Épique,dragon,dark,dragon_dark,True,BlackMetalDragon,91,Offensif,Gain exceptionnel,👑 Très élevé,98_Astegon
99,Dark Armored Scorpion,Menasting,DarkScorpion,True,EPalTribeID::DarkScorpion,DarkScorpion,100,7050,none,none,Drops increased by %_Electricity,40,50,60,70,80,"When fighting side by side with it, the player's defense will be improved. If you knock down the elemental Electricity's Palu, you can get more dropped items from the Pallu.",40,none,Autre,DarkScorpion,DarkScorpion,close,9,🟠 Épique,dark,land,dark_land,True,DarkScorpion,173,Autre,Gain faible,💎 Élevé,99_Menasting
100,Anubis,Anubis,Anubis,True,EPalTribeID::Anubis,Anubis,100,4960,yandi,none,Attack power bonus%,5,6,7,8,10,"When fighting alongside it, it will grant the player's attacks elemental Earth. During combat, he will occasionally move at high speed to avoid attacks.",5,yandi,Offensif,Anubis,Anubis,close,10,🟠 Épique,land,,land,False,Anubis,152,Offensif,Gain faible,💸 Moyen,100_Anubis
101,Sea-covering dragon,Jormuntide,Umihebi,True,EPalTribeID::Umihebi,Umihebi,100,9320,neptune,none,Moving speed%,0,10,12,15,20,Can ride on its back and move through the water. Moving on water while riding does not consume stamina.,20,neptune,Mobilité,Umihebi,Umihebi,close,8,🟠 Épique,dragon,water,dragon_water,True,Umihebi,103,Monture,Gain faible,👑 Très élevé,101_Jormuntide
101,Teng Yanlong,Jormuntide Ignis,Umihebi_Fire,True,EPalTribeID::Umihebi_Fire,Umihebi_Fire,100,9500,none,none,Elemental power bonus%_Fire,50,55,65,80,100,Can be moved around on its back. Elemental Fire attacks during riding will be strengthened.,50,none,Bonus,Umihebi_Fire,Umihebi_Fire,close,9,🟠 Épique,dragon,fire,dragon_fire,True,Umihebi,91,Offensif,Gain faible,👑 Très élevé,101_Jormuntide Ignis
102,Suzaku,Suzaku,Suzaku,True,EPalTribeID::Suzaku,Suzaku,100,9840,none,none,Elemental power bonus%_Fire,50,55,65,80,100,"You can ride on its back to fly in the air, and your elemental Fire attacks will be strengthened while riding.",50,none,Bonus,Suzaku,Suzaku,close,8,🟠 Épique,fire,,fire,False,Suzaku,110,Offensif,Gain faible,👑 Très élevé,102_Suzaku
102,Qingque,Suzaku Aqua,Suzaku_Water,True,EPalTribeID::Suzaku_Water,Suzaku_Water,100,10110,none,none,Elemental power bonus%_Water,50,55,65,80,100,"You can ride on its back to fly in the air, and your elemental Water attack will be strengthened while riding.",50,none,Bonus,Suzaku_Water,Suzaku_Water,close,9,🟠 Épique,water,,water,False,Suzaku,110,Offensif,Gain faible,👑 Très élevé,102_Suzaku Aqua
103,Lightning Bear,Grizzbolt,ElecPanda,True,EPalTribeID::ElecPanda,ElecPanda,100,7720,none,none,Skill power,6,6,7,9,12,"Can be moved around on its back. While mounted, it can also continuously attack with its machine gun.",6,none,Offensif,ElecPanda,ElecPanda,close,8,🟠 Épique,electricity,,electricity,False,ElecPanda,101,Offensif,Gain faible,💎 Élevé,103_Grizzbolt
104,lily queen,Lyleen,LilyQueen,True,EPalTribeID::LilyQueen,LilyQueen,100,7160,elf king,none,treatment value,1000,1100,1300,1600,2000,"Once activated, the Queen's healing ability can be used to restore a large amount of health to the player.",1000,elf king,Soutien,LilyQueen,LilyQueen,close,9,🟠 Épique,Wood,,Wood,False,LilyQueen,106,Soutien,Gain élevé,💎 Élevé,104_Lyleen
104,black moon queen,Lyleen Noct,LilyQueen_Dark,True,EPalTribeID::LilyQueen_Dark,LilyQueen_Dark,100,7610,none,none,treatment value,1000,1100,1300,1600,2000,"Once activated, the Queen's healing ability can be used to restore a large amount of health to the player.",1000,none,Soutien,LilyQueen_Dark,LilyQueen_Dark,close,10,🟠 Épique,dark,,dark,False,LilyQueen,106,Soutien,Gain élevé,💎 Élevé,104_Lyleen Noct
105,Horus,Faleris,Horus,True,EPalTribeID::Horus,Horus,100,6720,none,none,Drop increased by %_Ice,40,50,60,70,80,"You can ride on its back and fly in the air. When fighting alongside it, if you knock down the elemental Ice's pallu, you can get more dropped items from that pallu.",40,none,Autre,Horus,Horus,close,9,🟠 Épique,fire,,fire,False,Horus,165,Monture,Gain faible,💎 Élevé,105_Faleris
106,Pollux,Orserk,ThunderDragonMan,True,EPalTribeID::ThunderDragonMan,ThunderDragonMan,100,8320,thunder emperor,none,Drop increased by %_Water,40,50,60,70,80,"When fighting alongside it, if you knock down the elemental Water's pallu, you can get more dropped items from that pallu.",40,thunder emperor,Autre,ThunderDragonMan,ThunderDragonMan,close,9,🟠 Épique,dragon,electricity,dragon_electricity,True,ThunderDragonMan,122,Autre,Gain faible,👑 Très élevé,106_Orserk
107,Heterogeneous Griffin,Shadowbeak,BlackGriffon,True,EPalTribeID::BlackGriffon,BlackGriffon,100,9060,none,none,Elemental power bonus%_Dark,50,55,65,80,100,You can ride on its back and fly in the air. Elemental Dark attacks during riding will be strengthened.,50,none,Bonus,BlackGriffon,BlackGriffon,close,10,🟠 Épique,dark,,dark,False,BlackGriffon,103,Offensif,Gain faible,👑 Très élevé,107_Shadowbeak
108,Knight of Light,Paladius,SaintCentaur,True,EPalTribeID::SaintCentaur,SaintCentaur,100,8810,legend,holy day,Moving speed%,0,10,12,15,20,Can be moved around on its back. Three jumps are possible during the ride.,20,"legend, holy day",Mobilité,SaintCentaur,SaintCentaur,close,20,🔴 Légendaire,generally,,generally,False,SaintCentaur,74,Monture,Gain faible,👑 Très élevé,108_Paladius
109,Chaos Knight,Necromus,BlackCentaur,True,EPalTribeID::BlackCentaur,BlackCentaur,100,8930,legend,hades,Moving speed%,0,10,12,15,20,Can be moved around on its back. Two jumps are possible during the ride.,20,"legend, hades",Mobilité,BlackCentaur,BlackCentaur,close,20,🔴 Légendaire,dark,,dark,False,BlackCentaur,72,Monture,Gain faible,👑 Très élevé,109_Necromus
110,Winter Caller,Frostallion,IceHorse,True,EPalTribeID::IceHorse,IceHorse,100,8440,legend,ice king,Elemental power bonus%_Ice,50,55,65,80,100,"You can ride on its back and fly in the air. During the ride, the player's attacks will be transformed into elemental ice, and the elemental ice's attacks will be strengthened.",50,"legend, ice king",Bonus,IceHorse,IceHorse,close,20,🔴 Légendaire,ice,,ice,False,IceHorse,176,Offensif,Gain faible,👑 Très élevé,110_Frostallion
110,Night Caller,Frostallion Noct,IceHorse_Dark,True,EPalTribeID::IceHorse_Dark,IceHorse_Dark,100,8560,legend,none,Elemental power bonus%_Dark,50,55,65,80,100,"You can ride on its back and fly in the air. During riding, the player's attacks will be transformed into elemental Dark, and the attacks of elemental Dark will be strengthened.",50,legend,Bonus,IceHorse_Dark,IceHorse_Dark,close,20,🔴 Légendaire,dark,,dark,False,IceHorse,177,Offensif,Gain faible,👑 Très élevé,110_Frostallion Noct
111,Vortex Dragon,Jetragon,JetDragon,True,EPalTribeID::JetDragon,JetDragon,100,8680,legend,shenlong,Skill power,13,14,16,20,26,You can ride on its back and fly in the air. It can also continuously attack with its missile launcher while riding.,13,"legend, shenlong",Offensif,JetDragon,JetDragon,close,20,🔴 Légendaire,dragon,,dragon,False,JetDragon,116,Offensif,Gain faible,👑 Très élevé,111_Jetragon
